,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
117,Kostas Antetokounmpo,2,22,1.0,0.1,1.0,37.5,-,47.4,3.6,-0.2
118,Thanasis Antetokounmpo,6,127,3.1,0.7,2.0,51.7,16.7,54.5,11.5,1.8
119,Carmelo Anthony,18,1260,22.5,2.7,6.2,44.7,35.5,81.4,19.5,108.5
120,Cole Anthony,1,112,14.9,5.0,5.1,39.3,33.7,84.6,13.0,1.6
121,Greg Anthony,10,757,7.3,4.0,1.9,40.3,34.9,73.3,14.5,35.9
122,Joel Anthony,9,490,2.2,0.2,2.8,51.3,-,66.2,9.7,15.3
123,Pero Antić,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,OG Anunoby,4,301,10.4,1.4,4.1,47.0,37.2,70.9,12.8,17.6
125,Keith Appling,0,5,1.2,0.2,0.2,25.0,0.0,100.0,-4.8,-0.1
126,Rafael Araújo,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,Stacey Arceneaux,0,7,7.1,0.6,4.6,39.3,-1,46.2,10.5,-0.1
128,Robert Archibald,1,44,1.2,0.4,1.6,28.3,-,42.9,4.9,0.0
129,Tiny Archibald,13,876,18.8,7.4,2.3,46.7,22.4,81.0,18.0,83.4
130,Ryan Arcidiacono,4,217,4.6,2.1,2.0,43.2,37.4,80.7,10.3,6.3
131,Jim Ard,7,431,4.4,0.6,4.3,40.2,23.5,66.2,10.6,4.0
132,Gilbert Arenas,10,552,20.7,5.3,3.9,42.1,35.1,80.3,19.6,51.3
133,Trevor Ariza,17,1118,10.4,2.1,4.8,42.2,35.1,73.1,13.1,64.3
134,Paul Arizin,11,713,22.8,2.3,8.6,42.1,-1,81.0,19.8,108.8
135,Joe Arlauckas,0,9,3.8,0.9,1.4,32.6,-,75.0,7.9,-0.1
136,B.J. Armstrong,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,Bob Armstrong,0,19,1.5,0.2,2.1,29.7,-1,50.0,7.8,-0.1
138,Brandon Armstrong,2,108,2.2,0.2,0.6,35.2,33.3,60.0,4.9,-0.6
139,Curly Armstrong,2,153,6.8,2.3,2.3,29.5,-1,69.2,-,7.1
140,Darrell Armstrong,13,840,9.2,4.0,2.7,40.9,33.4,87.1,16.3,49.8
141,Hilton Armstrong,7,292,3.0,0.3,2.6,50.1,28.6,58.2,9.9,3.9
142,Tate Armstrong,1,92,3.8,1.1,1.0,45.4,-1,80.0,9.9,0.3
143,Jesse Arnelle,0,31,4.7,0.6,5.5,31.7,-1,62.3,12.6,0.0
144,Jay Arnette,2,114,3.7,1.2,1.0,36.5,-1,76.0,7.7,0.1
145,Bob Arnzen,4,111,4.0,0.3,2.0,46.5,20.0,80.0,13.6,1.4
146,Carlos Arroyo,9,569,6.6,3.1,1.7,43.8,33.8,80.6,13.4,20.1
147,Darrell Arthur,9,503,6.5,0.8,3.5,44.4,35.2,76.5,12.2,12.3
148,John Arthurs,0,11,3.2,1.5,1.3,34.3,-1,73.3,11.3,0.0
149,Jamel Artis,0,15,5.1,1.2,2.5,39.2,27.6,58.3,6.9,0.0
150,Ömer Aşık,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,Vincent Askew,10,467,7.1,2.2,2.5,47.9,30.0,75.4,12.6,22.1
152,Keith Askins,8,486,3.8,0.8,2.9,40.1,35.5,71.7,9.2,14.5
153,Don Asmonga,0,7,0.7,0.7,0.1,13.3,-1,100.0,-7.6,-0.3
154,Dick Atha,2,43,3.2,1.2,1.5,39.3,-1,79.5,10.5,0.6
155,Chucky Atkins,10,696,9.9,3.4,1.7,41.2,36.4,77.2,13.1,27.9
156,Al Attles,10,711,8.9,3.5,3.5,45.1,-1,63.2,11.3,36.5
157,Chet Aubuchon,0,30,2.2,0.7,-,25.3,-1,54.3,-,1.2
158,Stacey Augmon,14,1001,8.0,1.6,3.2,46.9,15.2,72.8,13.7,43.8
159,D.J. Augustin,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,James Augustine,1,27,1.6,0.1,1.2,51.4,-,50.0,11.1,0.3
161,Isaac Austin,10,432,7.6,1.2,4.7,44.6,17.6,67.0,13.0,9.2
162,Johnny Austin,1,45,7.6,1.4,1.6,37.5,0.0,73.1,9.3,0.9
163,Ken Austin,0,7,1.7,0.1,0.4,46.2,-,-,5.6,0.0
164,Deni Avdija,1,136,7.6,1.7,5.1,42.6,31.6,72.9,10.0,3.6
165,Anthony Avent,7,352,5.6,0.8,4.5,40.3,0.0,68.6,8.8,0.3
166,Bird Averitt,4,366,12.1,2.9,1.9,40.5,24.9,74.3,12.5,3.9
167,William Avery,2,142,2.7,1.4,0.7,33.0,25.5,71.4,7.3,-0.9
168,Dennis Awtrey,11,733,4.8,2.0,4.6,45.9,-,65.2,10.5,22.4
169,Joel Ayayi,0,7,0.3,0.6,0.4,16.7,0.0,-,3.4,0.0
170,Gustavo Ayón,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
171,Jeff Ayres,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,Deandre Ayton,3,236,16.3,1.6,10.5,59.9,25.0,75.4,20.7,24.6
173,Kelenna Azubuike,5,208,10.5,1.1,4.0,45.9,40.9,77.0,14.3,9.3
174,Udoka Azubuike,1,32,3.0,0.0,2.6,70.7,-,66.7,15.9,0.8
175,Chris Babb,0,14,1.6,0.2,1.2,26.7,22.2,-,3.7,0.0
176,Luke Babbitt,7,381,4.8,0.6,2.2,40.8,40.2,74.7,10.1,7.2
177,Miloš Babić,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,Johnny Bach,0,34,3.5,0.7,-,28.6,-1,68.0,-,0.8
179,Dwayne Bacon,3,207,7.3,1.1,2.6,40.2,31.4,78.0,8.9,0.8
180,Henry Bacon,0,47,3.5,0.8,1.7,36.6,20.0,60.3,4.3,-0.1
181,Jim Baechtold,4,321,9.7,2.1,3.1,38.8,-1,78.3,13.2,14.8
182,Dalibor Bagarić,2,95,2.6,0.4,2.5,36.1,0.0,55.9,7.0,-0.9
183,John Bagley,11,665,8.7,6.0,2.6,43.7,24.1,77.9,13.0,16.6
184,Marvin Bagley III,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,Carl Bailey,0,1,2.0,0.0,0.0,100.0,-,-,-6.8,0.0
186,Gus Bailey,5,147,2.6,1.1,1.7,40.6,100.0,51.0,11.3,0.8
187,James Bailey,8,595,8.8,0.8,5.0,48.4,7.7,70.3,13.0,16.3
188,Thurl Bailey,15,928,12.8,1.4,5.1,47.3,11.4,81.2,14.3,45.0
189,Toby Bailey,1,73,3.3,0.6,1.7,40.7,20.0,69.2,11.0,1.0
190,Cameron Bairstow,1,36,1.2,0.2,1.0,29.6,20.0,84.6,5.0,-0.1
191,Jimmie Baker,0,5,1.2,0.8,2.8,20.0,-,0.0,-3.2,-0.2
192,Mark Baker,0,5,0.0,0.2,0.4,0.0,-,-,-0.2,0.0
193,Maurice Baker,0,5,0.0,0.2,0.4,0.0,-,-,-0.2,0.0
194,Norm Baker,0,4,0.0,0.0,-,0.0,-1,-,-,0.0
195,Ron Baker,2,96,3.1,1.8,1.4,35.8,26.5,70.7,7.4,0.2
196,Vin Baker,12,791,15.0,1.9,7.4,48.5,21.5,63.8,16.3,47.0
197,Wade Baldwin,2,56,3.1,1.4,1.2,35.5,25.0,77.6,7.1,-0.3
198,Renaldo Balkman,5,221,4.0,0.6,3.5,51.0,17.2,54.2,14.3,7.2
199,Cedric Ball,0,7,1.1,0.0,1.6,37.5,-,100.0,10.8,0.0
200,LaMelo Ball,1,126,18.3,7.0,6.4,43.1,37.8,82.6,18.9,8.7
201,Lonzo Ball,4,252,11.9,6.2,5.7,40.0,36.4,57.8,13.4,11.4
202,Greg Ballard,11,802,12.4,2.2,6.1,47.2,33.8,78.7,15.7,54.0
203,Herschel Baltimore,0,58,2.4,0.3,-,20.2,-1,46.4,-,0.3
204,Mo Bamba,3,226,7.7,0.9,6.1,47.5,35.2,68.5,16.9,10.4
205,Desmond Bane,1,144,14.0,2.3,3.8,46.4,43.5,88.2,15.4,10.1
206,Gene Banks,5,468,11.3,2.9,5.8,53.9,4.3,73.0,15.1,31.2
207,Marcus Banks,7,348,5.9,2.1,1.5,43.2,32.7,76.8,12.2,6.6
208,Walker Banks,0,16,2.6,0.5,3.1,50.0,-,41.2,6.4,0.2
209,Ken Bannister,6,253,5.9,0.4,3.5,48.8,0.0,49.2,8.9,0.6
210,Mike Bantom,8,706,12.1,2.3,6.4,46.8,20.0,69.2,14.3,34.8
211,Dalano Banton,0,64,3.2,1.5,1.9,41.1,25.5,59.1,10.0,0.4
212,Cat Barber,0,3,0.0,1.0,1.0,0.0,-,0.0,-11.2,-0.1
213,John Barber,0,5,1.4,0.0,1.2,25.0,-1,50.0,4.2,0.0
214,Leandro Barbosa,13,850,10.6,2.1,2.0,45.9,38.7,82.1,15.1,37.4
215,Steve Bardo,4,33,2.2,1.3,1.8,32.9,10.0,69.6,8.1,-0.1
216,J.J. Barea,13,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,Andrea Bargnani,9,550,14.3,1.2,4.6,43.9,35.4,82.4,14.4,18.9
218,Cliff Barker,2,149,3.7,2.0,1.8,31.6,-1,66.2,10.8,2.0
