,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
219,Tom Barker,2,98,6.5,0.8,5.3,42.2,-1,69.2,10.9,1.3
220,Charles Barkley,15,1073,22.1,3.9,11.7,54.1,26.6,73.5,24.6,177.2
221,Erick Barkley,1,27,2.9,1.5,0.8,35.6,26.7,90.0,9.9,0.2
222,Don Barksdale,3,262,11.0,2.1,8.0,37.0,-1,66.0,15.6,9.1
223,Harrison Barnes,9,22,2.0,0.2,1.2,28.1,-1,53.8,2.4,-0.4
224,Harry Barnes,0,22,2.0,0.2,1.2,28.1,-1,53.8,2.4,-0.4
225,Jim Barnes,6,454,8.8,0.8,6.5,42.9,-1,68.4,12.5,14.2
226,Marvin Barnes,5,315,16.0,2.1,9.1,48.1,21.4,69.1,18.1,20.6
227,Matt Barnes,13,315,16.0,2.1,9.1,48.1,21.4,69.1,18.1,20.6
228,Scottie Barnes,0,74,15.3,3.5,7.5,49.2,30.1,73.5,16.3,6.6
229,Dick Barnett,14,971,15.8,2.8,2.9,45.6,-1,76.1,14.7,68.7
230,Jim Barnett,10,454,8.8,0.8,6.5,42.9,-1,68.4,12.5,14.2
231,Nathaniel Barnett,0,12,2.3,0.7,0.7,46.2,0.0,37.5,4.9,0.0
232,John Barnhill,9,589,8.6,2.9,2.5,40.6,23.6,65.8,10.7,12.7
233,Norton Barnhill,0,4,1.0,0.3,0.8,33.3,-1,-,4.7,0.0
234,Leo Barnhorst,4,344,9.4,3.2,5.4,36.8,-1,66.5,14.2,13.3
235,John Barr,0,58,5.1,0.9,-,28.3,-1,59.5,-,5.0
236,Mike Barr,4,307,5.9,2.8,2.1,47.9,33.3,75.3,9.6,6.9
237,Moe Barr,0,31,2.0,0.9,0.6,40.3,-1,84.6,11.9,0.1
238,Andre Barrett,3,67,3.3,2.0,1.1,36.9,24.6,72.7,9.6,0.4
239,Ernie Barrett,2,131,4.9,1.7,2.6,36.9,-1,74.8,9.3,0.8
240,Mike Barrett,3,187,13.4,3.9,3.2,44.0,31.0,74.6,12.4,7.4
241,RJ Barrett,2,198,17.5,2.9,5.6,41.8,35.7,69.7,12.8,5.9
242,Earl Barron,9,140,4.6,0.5,3.5,37.1,16.7,70.2,8.6,-0.6
243,Dana Barros,14,850,10.5,3.3,1.9,46.0,41.1,85.8,16.4,49.6
244,Brent Barry,13,912,9.3,3.2,3.0,46.0,40.5,82.3,15.7,70.5
245,Drew Barry,2,60,2.2,1.9,1.1,41.7,38.1,77.4,9.8,0.6
246,Jon Barry,13,821,5.7,2.2,1.8,43.4,39.2,84.8,14.7,37.2
247,Rick Barry,14,1020,24.8,4.9,6.7,45.6,29.7,89.3,21.0,128.9
248,Ed Bartels,1,32,4.2,1.0,4.9,25.1,-1,53.8,-,-1.1
249,Vic Bartolome,0,38,0.9,0.1,1.6,25.4,-1,80.0,4.4,-0.4
250,Will Barton,9,623,11.6,2.7,4.3,43.3,35.4,78.7,14.1,26.0
251,Eddie Basden,0,19,2.1,0.4,1.5,40.5,14.3,80.0,10.3,0.2
252,Jerry Baskerville,0,21,1.2,0.1,1.3,30.8,-1,62.5,8.0,0.0
253,Brandon Bass,11,758,8.7,0.8,4.5,49.9,20.7,83.2,15.3,42.8
254,Paris Bass,0,2,3.0,0.0,2.0,33.3,0.0,100.0,13.9,0.0
255,Tim Bassett,6,473,6.2,1.2,6.7,42.3,28.6,58.8,10.2,12.9
256,Charles Bassey,0,23,3.0,0.3,2.7,63.8,0.0,75.0,21.5,0.8
257,Maceo Baston,6,105,2.7,0.2,1.7,61.6,37.5,74.0,14.4,2.3
258,Mengke Bateer,2,46,3.4,0.6,2.5,39.1,33.3,74.4,6.4,-0.1
259,Billy Ray Bates,3,187,11.7,1.9,1.7,47.4,30.3,79.6,18.1,6.9
260,Keita Bates-Diop,3,163,5.2,0.6,3.0,46.2,30.4,71.4,11.8,3.5
261,Esteban Batista,1,70,1.7,0.2,2.5,43.8,0.0,61.7,7.9,0.3
262,Mike Batiste,0,75,6.4,0.7,3.4,42.2,22.2,78.4,12.2,0.8
263,Tony Battie,14,837,6.1,0.6,5.1,48.8,16.2,69.0,12.6,36.4
264,Shane Battier,12,977,8.6,1.8,4.2,43.7,38.4,74.3,12.6,75.7
265,John Battle,9,612,8.7,2.1,1.3,46.4,27.3,79.3,13.7,17.9
266,Kenny Battle,3,134,4.7,0.8,2.4,50.4,13.3,72.5,12.5,3.7
267,Dave Batton,1,58,3.2,0.6,2.1,44.8,0.0,47.1,10.2,0.7
268,Lloyd Batts,0,58,10.3,1.8,3.4,36.6,28.6,61.7,11.3,-0.5
269,Nicolas Batum,13,915,11.1,3.5,5.1,43.7,36.3,83.7,14.6,63.5
270,Johnny Baum,4,244,6.1,0.6,2.7,48.0,0.0,75.8,13.8,5.7
271,Frankie Baumholtz,0,45,14.0,1.2,-,29.8,-1,77.6,-,3.8
272,Lonny Baxter,3,162,3.9,0.2,2.9,46.6,20.0,65.7,11.6,2.9
273,Jerryd Bayless,10,586,8.4,2.9,2.1,41.1,36.1,81.8,12.2,18.6
274,Elgin Baylor,13,846,27.4,4.3,13.5,43.1,-1,78.0,22.7,104.2
275,Howard Bayne,0,69,4.9,1.0,6.6,36.0,14.3,53.8,8.2,0.8
276,Aron Baynes,8,522,6.0,0.8,4.6,48.9,30.8,79.4,13.7,20.1
277,Sergei Bazarevich,0,10,3.0,1.4,0.7,50.0,16.7,77.8,13.6,0.2
278,Kent Bazemore,9,657,8.2,1.8,3.2,41.3,35.6,72.4,11.4,13.5
279,Darius Bazley,2,185,10.0,1.3,5.8,40.6,30.5,69.5,10.8,1.8
280,Ed Beach,0,12,1.8,0.3,2.1,21.1,-1,66.7,-,-0.3
281,Bradley Beal,9,645,22.1,4.2,4.1,45.6,37.2,82.1,18.2,48.8
282,Al Beard,0,12,2.5,0.0,3.8,52.2,-,54.5,6.3,0.3
283,Butch Beard,9,605,9.3,3.6,3.4,48.7,-1,77.1,15.0,32.8
284,Ralph Beard,1,126,15.9,4.4,3.8,36.6,-1,77.0,-,11.2
285,Charles Beasley,3,281,9.4,3.1,2.5,45.6,23.8,86.4,11.9,15.4
286,Jerome Beasley,0,2,1.0,0.0,0.5,33.3,-,-,5.9,0.0
287,John Beasley,6,506,13.7,1.2,8.4,49.1,31.6,83.1,19.6,37.9
288,Malik Beasley,5,336,10.4,1.2,2.5,43.0,38.6,81.6,12.9,10.5
289,Michael Beasley,10,609,12.4,1.3,4.7,46.5,34.9,75.9,15.6,15.6
290,Zelmo Beaty,12,889,17.1,1.5,10.9,49.4,15.4,77.1,18.7,106.0
291,Rodrigue Beaubois,3,182,7.1,2.1,1.9,43.9,32.5,81.0,14.5,4.8
292,Byron Beck,9,747,11.5,1.3,7.0,50.5,29.5,81.1,16.3,55.0
293,Corey Beck,3,88,2.7,1.4,1.4,45.1,60.0,68.4,9.1,0.5
294,Ernie Beck,7,371,6.3,1.8,3.2,38.3,-1,76.2,11.2,9.0
295,Arthur Becker,5,414,12.5,1.0,6.3,48.0,32.1,83.5,16.3,28.1
296,Moe Becker,0,43,3.8,0.7,-,19.6,-1,50.0,-,-2.4
297,Bob Bedell,3,269,8.4,1.2,5.2,42.3,19.0,77.4,15.9,5.6
298,William Bedford,6,238,4.1,0.5,2.4,41.6,31.8,60.5,9.7,0.9
299,Hank Beenders,2,111,8.4,0.5,-,26.5,-1,68.7,-,2.0
300,Ron Behagen,6,388,10.3,1.6,7.0,42.5,-,75.4,14.2,13.0
301,Elmer Behnke,0,4,4.0,1.0,4.3,27.3,-1,57.1,7.8,-0.1
302,Marco Belinelli,12,860,9.7,1.7,2.1,42.4,37.6,84.6,12.2,30.5
303,Charlie Bell,9,376,8.5,2.3,2.2,41.2,36.1,76.9,11.2,12.5
304,Dennis Bell,2,63,2.8,0.4,1.9,37.4,-1,53.5,10.7,0.1
305,Jordan Bell,4,161,3.7,1.2,3.1,55.2,20.0,63.6,15.0,4.9
306,Raja Bell,11,706,9.9,1.7,2.8,43.4,40.6,79.9,10.9,32.7
307,Troy Bell,0,6,1.8,0.7,0.7,22.2,0.0,100.0,-4.5,-0.2
308,Whitey Bell,1,36,5.1,1.6,2.6,37.9,-1,63.0,9.8,0.0
309,Walt Bellamy,13,1043,20.1,2.4,13.7,51.6,-1,63.2,19.9,130.0
310,DeAndre' Bembry,5,296,5.9,1.8,3.2,47.4,28.3,61.1,10.5,4.4
311,Irv Bemoras,3,131,6.3,1.0,2.6,34.7,-1,67.2,10.5,1.3
312,Leon Benbow,1,115,5.5,1.6,1.9,39.4,-1,75.9,10.9,1.7
313,Dragan Bender,3,187,5.4,1.3,3.9,39.9,32.3,65.4,7.6,0.5
314,Jonathan Bender,10,262,5.5,0.6,2.2,41.7,34.0,76.3,10.9,3.8
315,Jerrelle Benimon,0,2,0.0,0.0,1.5,-,-,-,4.7,0.0
316,Benoit Benjamin,14,807,11.4,1.3,7.5,49.7,4.8,72.1,14.8,32.7
317,Corey Benjamin,4,153,5.5,0.9,1.7,39.0,28.9,65.2,8.9,-0.9
318,Anthony Bennett,3,151,4.4,0.5,3.1,39.2,26.1,67.0,10.2,0.5
319,Elmer Bennett,2,21,2.3,1.0,0.5,34.0,27.3,72.2,6.2,-0.3
320,Mario Bennett,4,68,4.0,0.4,2.7,53.4,33.3,51.1,18.2,1.9
321,Mel Bennett,6,204,6.9,1.0,4.7,38.2,0.0,60.9,10.8,0.9
322,Spider Bennett,0,59,7.5,1.4,2.5,38.2,24.0,64.8,6.8,0.5
323,Tony Bennett,2,152,3.5,2.0,1.0,41.2,33.5,73.2,9.5,1.6
324,Winston Bennett,2,136,4.8,0.9,3.0,42.5,0.0,69.4,8.4,1.7
325,David Benoit,9,492,7.0,0.6,4.0,43.8,31.9,79.5,12.0,16.9
326,Keith Benson,0,680,9.1,1.8,5.7,49.3,20.6,75.7,14.2,33.6
327,Kent Benson,10,680,9.1,1.8,5.7,49.3,20.6,75.7,14.2,33.6
328,Ben Bentil,0,3,0.0,0.0,0.7,0.0,0.0,-,-17.6,-0.1
329,Gene Berce,0,3,3.3,0.7,-,31.3,-1,0.0,-,-0.1
330,Gary Bergen,0,6,1.3,0.2,1.3,27.3,-1,100.0,4.8,0.0
331,Larry Bergh,0,20,6.1,0.9,4.3,40.8,0.0,69.7,15.3,0.1
332,Ricky Berry,0,64,11.0,1.3,3.1,45.0,40.6,78.9,13.1,2.4
333,Walter Berry,2,205,14.1,1.4,4.7,53.9,20.0,63.8,16.6,8.2
334,Dairis Bertāns,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
335,Dāvis Bertāns,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
336,Del Beshore,1,69,3.5,2.0,0.9,35.2,38.5,66.7,6.4,-0.9
337,Travis Best,9,708,7.6,3.5,1.8,43.1,34.5,83.5,13.8,30.9
338,Patrick Beverley,9,526,8.8,3.5,4.3,41.4,37.8,75.6,12.7,34.5
339,Saddiq Bey,1,152,14.3,2.2,5.0,39.9,36.1,83.3,13.4,7.3
340,Tyler Bey,0,18,1.0,0.2,1.1,31.8,25.0,60.0,5.9,0.0
341,Sim Bhullar,0,3,0.7,0.3,0.3,50.0,-,-,44.3,0.0
342,Wesley Bialosuknia,0,70,8.7,0.8,1.3,41.8,39.7,78.0,12.9,1.5
343,Al Bianchi,9,687,8.1,2.2,2.5,37.4,-1,70.7,9.6,8.2
344,Hank Biasatti,0,6,1.0,0.0,-,40.0,-1,50.0,-,0.1
345,Henry Bibby,8,675,8.6,3.3,2.3,42.4,29.3,78.2,12.3,24.5
346,Mike Bibby,13,1001,14.7,5.5,3.1,43.6,37.9,80.2,16.1,73.2
347,Ed Biedenbach,0,7,0.6,0.4,0.3,0.0,-1,66.7,2.7,-0.1
348,Andris Biedriņš,9,516,6.3,0.9,7.0,59.4,0.0,50.0,15.3,30.7
349,Don Bielke,0,7,2.0,0.1,1.3,55.6,-1,57.1,12.2,0.2
350,Bob Bigelow,3,94,2.5,0.4,1.2,41.4,-1,73.2,8.7,0.5
351,Lionel Billingy,0,46,8.5,1.1,6.1,42.7,0.0,65.0,10.5,-0.4
352,Chauncey Billups,16,1043,15.2,5.4,2.9,41.5,38.7,89.4,18.8,120.8
353,Dave Bing,11,901,20.3,6.0,3.8,44.1,-1,77.5,17.6,68.8
354,Joe Binion,0,11,1.3,0.1,1.6,40.0,-,60.0,12.0,0.1
355,Khem Birch,4,262,5.2,1.0,4.6,51.8,19.1,69.7,14.8,13.2
356,Jabari Bird,0,13,3.0,0.6,1.5,57.7,42.9,46.2,12.1,0.2
357,Jerry Bird,0,11,2.3,0.4,1.1,37.5,-1,100.0,12.9,0.0
358,Larry Bird,12,897,24.3,6.3,10.0,49.6,37.6,88.6,23.5,145.8
359,Otis Birdsong,11,696,18.0,3.2,3.0,50.6,27.4,65.5,16.5,48.2
360,Gale Bishop,0,56,8.3,1.6,-,32.5,-1,65.1,-,2.8
361,Goga Bitadze,2,149,5.0,0.8,2.9,47.7,25.4,70.7,15.9,4.0
362,Bismack Biyombo,10,738,5.2,0.6,6.1,53.0,0.0,56.4,13.1,29.4
363,Nemanja Bjelica,6,449,7.6,1.8,4.6,46.6,38.4,75.9,13.7,20.0
364,Uwe Blab,4,235,2.1,0.4,1.8,43.3,-,60.8,6.6,0.4
365,Charlie Black,3,136,9.2,2.3,2.4,28.3,-1,60.1,1.1,4.3
366,Norman Black,0,3,2.7,0.7,0.7,30.0,-,25.0,1.9,-0.1
367,Tarik Black,3,220,4.9,0.5,4.7,55.0,14.3,58.2,14.4,7.7
368,Tom Black,0,71,4.2,0.6,3.6,40.2,-1,64.8,9.6,0.1
369,Rolando Blackman,12,980,18.0,3.0,3.3,49.3,34.3,84.0,16.7,75.6
370,Alex Blackwell,0,27,1.3,0.3,0.9,33.3,0.0,75.0,8.2,0.0
371,Cory Blackwell,0,60,3.4,0.4,1.6,36.7,0.0,50.9,6.4,-0.9
372,James Blackwell,0,13,1.4,0.8,0.8,61.5,-,66.7,11.6,0.2
373,Nate Blackwell,0,10,3.7,1.8,0.6,36.6,18.2,83.3,6.1,-0.1
374,DeJuan Blair,6,424,6.8,0.8,5.1,52.4,0.0,60.8,16.5,19.0
375,Steve Blake,12,870,6.5,4.0,2.1,40.1,38.3,77.9,11.1,29.1
376,Antonio Blakeney,1,76,7.5,0.8,1.8,40.6,35.7,69.6,10.5,-0.6
377,Will Blalock,0,14,1.8,1.2,1.1,30.0,20.0,100.0,4.5,-0.1
378,George Blaney,0,36,3.3,1.3,1.0,38.0,-1,52.9,7.9,-0.1
379,Lance Blanks,2,142,2.0,0.8,0.8,43.6,25.3,66.7,8.8,0.7
380,Ricky Blanton,0,2,3.0,0.5,1.5,42.9,-,-,19.3,0.0
381,Andray Blatche,8,564,10.1,1.4,5.4,46.7,23.7,72.5,16.8,19.2
382,Mookie Blaylock,12,889,13.5,6.7,4.1,40.9,33.6,73.6,16.8,71.8
383,Eric Bledsoe,11,756,13.7,4.7,3.9,45.2,33.6,78.4,17.0,46.1
384,Keljin Blevins,1,48,2.2,0.5,1.1,29.8,28.8,54.5,3.8,-0.7
385,Leon Blevins,0,2,1.0,0.5,1.0,25.0,-1,0.0,-,0.0
386,John Block,9,597,11.9,1.3,6.6,43.3,-1,77.8,15.4,32.7
387,Mike Bloom,1,93,6.8,0.8,-,25.5,-1,71.3,-,2.5
388,Jaron Blossomgame,0,27,4.2,0.5,3.6,44.3,25.6,76.9,10.2,0.3
389,Corie Blount,10,644,3.6,0.7,4.2,47.1,11.5,58.7,11.1,18.2
390,Mark Blount,8,605,8.2,0.8,4.6,50.4,35.9,72.3,12.5,18.8
391,Vander Blue,4,10,3.0,1.2,1.3,30.8,15.4,33.3,1.7,-0.4
392,Ray Blume,0,49,4.6,1.4,0.8,45.9,22.2,64.3,9.7,-0.1
393,Nelson Bobb,3,227,4.6,2.1,2.4,35.0,-1,61.2,12.3,6.0
394,Tony Bobbitt,0,2,2.5,0.0,1.5,40.0,50.0,-,11.7,0.0
395,Bucky Bockhorn,6,474,11.5,3.5,4.7,40.3,-1,74.8,10.4,7.9
396,Tom Boerwinkle,9,635,7.2,3.2,9.0,45.3,-1,67.5,16.3,38.0
397,Keith Bogans,10,671,6.3,1.3,2.7,39.4,35.3,71.6,9.6,20.4
398,Bogdan Bogdanović,4,316,14.2,3.4,3.4,43.9,38.4,82.2,14.9,16.2
399,Bojan Bogdanović,7,316,14.2,3.4,3.4,43.9,38.4,82.2,14.9,16.2
400,Muggsy Bogues,13,889,7.7,7.6,2.6,45.8,27.8,82.7,15.0,54.0
401,Andrew Bogut,13,706,9.6,2.2,8.7,53.5,12.0,55.7,16.4,50.6
402,Etdrick Bohannon,3,26,1.4,0.2,1.7,42.9,-,67.9,10.2,0.1
403,Bol Bol,2,53,2.7,0.3,1.2,47.8,37.8,66.7,11.7,0.2
404,Manute Bol,9,624,2.6,0.3,4.2,40.7,21.0,56.1,9.4,12.3
405,Jonah Bolden,1,51,4.3,0.8,3.4,48.6,34.0,48.4,12.2,1.4
406,Marques Bolden,1,7,1.0,0.0,1.1,33.3,-,62.5,13.9,0.1
407,Bill Bolger,0,20,2.8,0.6,1.8,40.7,-1,61.5,10.8,0.2
408,Leandro Bolmaro,0,35,1.4,0.6,1.2,31.5,27.8,84.6,5.4,0.0
409,Joel Bolomboy,1,18,1.7,0.1,1.5,54.5,20.0,50.0,16.4,0.3
410,Doug Bolstorff,0,3,1.3,0.0,0.0,40.0,-1,-,2.2,0.0
411,George Bon Salle,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
412,Phil Bond,0,7,0.6,0.3,0.6,33.3,-1,-,5.3,0.0
413,Walter Bond,2,153,5.7,1.2,1.9,40.9,29.9,76.7,9.2,0.7
414,Jordan Bone,1,24,2.8,1.1,1.2,37.8,28.6,-,7.1,0.1
415,Dexter Boney,0,8,2.4,0.0,0.8,31.6,16.7,75.0,10.2,0.0
416,Isaac Bonga,3,143,3.1,0.8,2.2,43.2,30.0,75.9,8.4,1.7
417,Ron Bonham,3,118,6.1,0.4,1.4,38.8,0.0,82.4,16.7,2.7
418,Anthony Bonner,5,318,6.9,1.4,5.4,46.8,12.5,59.0,11.5,10.8
419,Matt Bonner,11,792,5.8,0.7,3.0,46.4,41.4,78.0,13.6,38.5
420,Butch Booker,0,12,5.8,0.5,7.6,49.2,0.0,55.6,15.7,0.4
421,Devin Booker,6,477,23.5,4.7,3.9,45.7,35.7,87.0,18.0,29.9
422,Melvin Booker,1,32,5.2,2.3,1.2,40.0,26.8,87.1,8.2,-0.1
423,Trevor Booker,7,532,6.9,1.1,5.5,51.5,30.5,63.6,15.0,26.2
424,Josh Boone,3,256,5.2,0.5,4.9,54.4,-,44.5,14.2,9.1
425,Ron Boone,12,1041,16.8,3.7,4.2,46.1,30.4,83.7,15.4,59.3
426,Calvin Booth,9,366,3.3,0.4,2.8,45.1,22.2,74.8,12.4,8.0
427,Keith Booth,1,45,2.9,0.9,2.2,32.5,9.1,56.3,7.3,-0.8
428,Bob Boozer,10,874,14.8,1.4,8.1,46.2,-1,76.1,16.1,64.2
429,Carlos Boozer,12,861,16.2,2.2,9.5,52.1,7.1,72.2,19.5,80.3
430,Curtis Borchardt,1,83,3.1,0.8,3.3,42.1,0.0,74.2,9.0,1.0
431,Jake Bornheimer,1,75,4.6,0.7,-,29.5,-1,67.1,-,1.2
432,Lazaro Borrell,0,17,3.6,0.6,2.4,44.4,0.0,54.5,15.0,0.3
433,Ike Borsavage,0,24,2.7,0.2,1.0,35.1,-1,66.7,-,0.1
434,Vince Boryla,4,285,11.2,2.1,3.7,37.1,-1,81.6,10.4,16.0
435,Chris Bosh,12,893,19.2,2.0,8.5,49.4,33.5,79.9,20.6,106.0
436,Jim Bostic,0,4,6.5,0.8,4.0,54.5,-1,40.0,18.9,0.1
437,Brandon Boston Jr.,0,51,6.7,1.0,2.2,38.5,30.6,81.9,11.2,0.4
438,Lawrence Boston,0,13,4.3,0.2,3.0,46.2,-,61.5,12.6,0.2
439,Tom Boswell,8,366,7.7,1.6,4.7,53.3,54.5,72.4,13.7,15.2
440,Chris Boucher,4,231,9.0,0.5,5.3,48.3,33.5,78.5,20.0,16.5
441,James Bouknight,0,31,4.6,0.8,1.7,34.8,34.7,87.1,10.1,0.0
442,Ruben Boumtje-Boumtje,2,44,1.0,0.1,1.3,36.8,-,55.6,6.4,0.2
443,Don Boven,3,195,9.0,2.0,4.2,33.9,-1,70.6,12.0,7.4
444,Cal Bowdler,2,142,3.0,0.2,1.9,40.4,18.2,76.8,11.3,1.8
445,Brian Bowen,1,873,6.1,1.2,2.8,40.9,39.3,57.5,8.2,42.9
446,Bruce Bowen,12,873,6.1,1.2,2.8,40.9,39.3,57.5,8.2,42.9
447,Ryan Bowen,10,507,2.6,0.5,2.1,45.6,20.6,69.3,10.5,12.4
448,Tommie Bowens,2,211,5.4,0.6,4.8,40.9,20.0,66.1,9.3,2.8
449,Anthony Bowie,9,461,6.4,1.8,2.2,47.5,31.8,82.4,11.7,12.3
450,Sam Bowie,10,511,10.9,2.1,7.5,45.2,30.2,74.8,14.6,26.9
451,Orbie Bowling,0,11,1.9,0.1,2.6,32.1,-,25.0,1.7,-0.2
452,Ira Bowman,2,17,0.9,0.5,0.3,63.6,0.0,50.0,13.4,0.2
453,Ky Bowman,0,45,7.4,2.9,2.7,41.7,30.8,82.9,9.1,-0.1
454,Nate Bowman,5,261,2.9,0.7,3.4,38.8,0.0,52.9,9.2,1.0
455,Donnie Boyce,1,30,2.6,0.5,0.8,34.9,25.0,50.0,9.3,-0.3
456,Dennis Boyd,0,5,1.2,1.4,0.4,25.0,-1,-,-4.0,-0.2
457,Freddie Boyd,5,327,8.5,3.0,1.6,41.4,-1,66.7,10.5,1.4
458,Ken Boyd,0,6,3.2,0.3,0.8,53.8,-1,45.5,25.3,0.1
459,Earl Boykins,13,652,8.9,3.2,1.3,41.7,34.8,87.6,15.7,26.0
460,Harry Boykoff,1,109,10.1,1.9,4.6,40.0,-1,76.5,-,7.0
461,Winford Boynes,2,177,8.4,1.2,2.1,43.5,0.0,78.3,10.8,0.9
462,Cedric Bozeman,0,23,1.1,0.4,1.0,28.2,15.4,33.3,-0.1,-0.3
463,Steve Bracey,2,187,6.1,2.2,1.6,46.6,-1,68.4,12.6,3.9
464,Craig Brackins,1,17,1.8,0.5,1.1,26.5,21.4,50.0,3.1,-0.2
465,Gary Bradds,6,254,12.2,0.9,5.5,47.5,5.6,79.8,18.8,15.8
466,Alex Bradley,0,99,4.4,0.7,1.5,41.8,100.0,70.3,8.6,-0.2
467,Alonzo Bradley,2,99,4.4,0.7,1.5,41.8,100.0,70.3,8.6,-0.2
468,Avery Bradley,11,660,11.0,1.7,2.8,43.4,36.5,78.3,10.7,17.2
469,Bill Bradley,0,742,12.4,3.4,3.2,44.8,-1,84.0,12.2,38.8
470,Bill Bradley,9,742,12.4,3.4,3.2,44.8,-1,84.0,12.2,38.8
471,Charles Bradley,2,110,3.2,0.5,1.1,41.6,0.0,58.5,8.4,0.3
472,Dudley Bradley,9,600,5.2,1.9,1.8,44.0,29.3,73.0,12.0,16.5
473,Jim Bradley,2,98,7.0,1.3,5.4,42.9,0.0,72.7,12.3,3.7
474,Joe Bradley,0,46,1.9,0.8,-,26.9,-1,39.5,-,-0.3
475,Michael Bradley,4,173,2.8,0.5,3.4,47.7,14.3,51.1,11.3,2.0
476,Shawn Bradley,11,832,8.1,0.7,6.3,45.7,10.3,71.6,16.0,40.7
477,Tony Bradley,4,167,4.6,0.5,4.3,63.4,42.9,67.2,19.3,7.4
478,Mark Bradtke,0,36,1.6,0.2,1.9,43.1,-,69.2,9.6,0.2
479,Marques Bragg,0,53,2.5,0.2,1.5,45.0,-,56.1,9.8,0.1
480,Torraye Braggs,1,22,2.1,0.3,2.3,47.5,-,66.7,9.8,0.3
481,A.J. Bramlett,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
482,Adrian Branch,3,130,6.4,0.7,1.9,45.5,23.1,74.4,15.1,2.1
483,Elton Brand,16,1058,15.9,2.1,8.5,50.0,9.5,73.6,20.5,109.6
484,Terrell Brandon,10,724,13.8,6.1,3.0,44.8,35.5,87.3,19.7,65.9
485,Bob Brannum,5,338,7.3,2.1,7.0,34.4,-1,65.2,11.4,5.6
486,Brad Branson,1,72,5.4,0.7,2.9,42.2,0.0,72.5,14.4,0.9
487,Jesse Branson,2,83,13.1,0.8,6.6,42.7,22.2,70.2,19.2,5.8
488,Jarrell Brantley,1,37,2.4,0.7,1.3,43.8,36.6,75.0,13.1,0.5
489,Jim Brasco,0,20,3.9,1.1,1.2,26.6,-1,79.4,7.6,-0.2
490,Mike Bratz,8,586,7.0,3.2,1.8,40.7,30.5,83.0,12.0,11.1
491,Carl Braun,14,788,13.5,3.7,3.4,38.3,-1,80.4,15.8,64.3
492,Ignas Brazdeikis,2,64,5.0,0.9,1.9,41.6,31.5,68.6,9.6,0.4
493,Tim Breaux,3,102,2.9,0.4,0.9,36.9,29.7,63.5,7.4,-0.2
494,J.R. Bremer,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
495,Pete Brennan,0,16,2.5,0.4,1.9,30.2,-1,56.0,7.2,-0.1
496,Tom Brennan,0,11,0.9,0.2,0.5,45.5,-1,-,5.7,0.1
497,Randy Breuer,10,681,6.8,0.9,4.4,46.7,0.0,62.8,13.2,20.9
498,Corey Brewer,12,819,8.7,1.5,2.8,42.5,28.4,71.3,11.8,22.5
499,Jamison Brewer,3,54,1.6,1.0,0.9,37.2,25.0,39.3,7.0,0.0
500,Jim Brewer,8,703,5.8,1.5,6.3,44.8,7.7,57.1,12.2,29.3
501,Ron Brewer,7,501,11.9,1.8,1.9,45.9,24.8,82.4,13.0,17.3
502,Ronnie Brewer,7,501,11.9,1.8,1.9,45.9,24.8,82.4,13.0,17.3
503,Primož Brezec,8,342,7.2,0.5,3.9,49.8,16.7,70.1,13.6,10.8
504,Frankie Brian,6,438,12.3,2.6,2.4,34.0,-1,82.1,14.0,30.1
505,Frank Brickowski,12,731,10.0,1.9,4.7,51.9,32.4,74.0,14.2,29.8
506,Junior Bridgeman,11,849,13.6,2.4,3.5,47.5,24.4,84.6,15.6,45.0
507,Bill Bridges,12,926,11.9,2.8,11.9,44.2,-1,69.3,14.5,59.9
508,Mikal Bridges,3,309,11.3,2.1,3.9,50.9,37.4,83.1,13.7,24.6
509,Miles Bridges,3,309,11.3,2.1,3.9,50.9,37.4,83.1,13.7,24.6
510,Al Brightman,0,58,9.8,1.0,-,25.6,-1,62.7,-,0.4
511,Amida Brimah,0,5,2.6,0.2,1.6,62.5,-,100.0,16.6,0.0
512,Aud Brindley,0,12,2.8,0.1,-,28.6,-1,85.7,-,0.2
513,Isaiah Briscoe,0,39,3.5,2.2,1.9,39.9,32.4,57.7,6.7,0.3
514,John Brisker,5,331,20.7,2.4,6.5,45.3,32.1,83.4,20.1,22.1
515,Oshae Brissett,2,107,8.2,0.9,4.7,42.4,36.1,72.0,13.5,4.1
516,Allan Bristow,9,695,7.8,3.2,4.0,46.0,28.1,80.1,14.6,24.6
517,Tyrone Britt,0,11,2.5,1.1,1.4,38.2,-1,66.7,9.5,0.0
518,Wayman Britt,0,7,1.3,0.3,0.6,30.0,-1,75.0,13.5,0.0
519,Mike Brittain,1,38,1.7,0.2,1.4,50.0,-,52.4,4.7,-0.1
520,Dave Britton,0,2,2.0,1.5,1.0,66.7,-,-,18.0,0.0
521,Jon Brockman,2,150,2.1,0.3,3.1,48.8,0.0,61.8,10.3,3.7
522,Ryan Broekhoff,1,59,4.0,0.6,1.8,42.7,40.3,81.5,11.4,1.2
523,Jim Brogan,1,121,5.1,1.8,1.5,44.4,26.7,74.8,13.1,1.2
